Left,Right,vrc.v_aa,vrc.v_ch,vrc.v_dd,vrc.v_e,vrc.v_ff,vrc.v_ih,vrc.v_kk,vrc.v_nn,vrc.v_oh,vrc.v_ou,vrc.v_pp,vrc.v_rr,vrc.v_sil,vrc.v_ss,vrc.v_th,あ,い,う,え,お,まばたき,笑い,ウィンク,ウィンク右,じとめ,ビックリ,てれっ,なき,おこ,ねこめ,ぐるぐる,なごみ,はぅ,しただし,ウィンク2,ウィンク右2,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
0,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,,0,0,
0,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,,0,0,0,0,0,0,,0,0,
0,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,100,0,0,0,0,0,,0,0,
0,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,0,,0,0,
0,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,0,0,,0,0,
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
1,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,,0,0,
1,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,,0,0,0,0,0,0,,0,0,
1,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,100,0,0,0,0,0,,0,0,
1,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,0,,0,0,
1,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,0,0,,0,0,
2,0,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
2,1,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
2,2,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
2,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,,0,0,
2,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,,0,0,0,0,0,0,,0,0,
2,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,100,0,0,0,0,0,,0,0,
2,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,0,,0,0,
2,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,0,0,,0,0,
3,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,,0,0,0,0,0,0,,0,0,
3,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,,0,0,0,0,0,0,,0,0,
3,2,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
3,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,,0,0,
3,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,,0,0,0,0,0,0,,0,0,
3,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,100,0,0,0,0,0,,0,0,
3,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,0,,0,0,
3,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,0,0,,0,0,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,
4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,
